ORNEK_NO,old_id,new_id,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,PAFTA_NO,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,DILIM_NO,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,ADAYA_ANIT_AGACI,ADAY_ANIT_AGACI_TURU,ADAY_ANIT_AGACI_BOY,ADAY_ANIT_AGACI_CAP,ADAY_ANIT_AGACI_UTMX,ADAY_ANIT_AGACI_UTMY,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON,H4__HORIZON,ANKAYA,ANKAYA_NOT,HEDEF_TURU,HEDEF_TURU_ACIKLAMA,DOGALLIK,ORMAN_ZARARLILARI,YAPRAK_KAYIP_ORANI,ENVANTER_EKIBI,ROPERDEN_ORNEK_ALANA_GIDIS,DIGER_GOZLEM,BAG_1,BAG_2,ENVANTER_TARIHI,YIL,BLOK
923966,61542,923966,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Gevşek Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.01929814,41.9290594,Çkbc1,Çkbc1,3,16,12,Güney Doğu,332,E18-a1,501600,4641900,Kırklareli,Kofçaz,36,Orman,Orman,Statüsüz,,Orman,BAKACAK SERİSİ KARAHAMZA DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Yok,,,,5,,Ölü Örtü Kaplı,,Yok,Yok,,,,55,55,30,35,,,45,55,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,24-08-2019,2019,4
923972,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,KAYALI,27.019274,41.847998,Mc/Sa,Mc/Sa,3,487,1,Düzlük,321,E18-a4,501600,4632900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman,BAKACAK SERİSİ KARAHAMZA DEVLET ORMANI,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,K,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf Yapraklı,3,,1,110,110+,5,5,10,,0,11-40,4110,,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 149 derece 113 metre  uzaklıktadır.",Sahanın vasfı bilinmemekte olup 3 cephesinde tarla olarak kullanılmaktadır. Diğer cephede sedir ağaçları vardır.,"Nokta, profil çukuruna 275 derece ve 7 metre uzaklıktadır.",,01-08-2022,2022,2
924388,66887,924388,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Tepe,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.05559961,42.06414765,Z,Z,0,36,2,Düzlük,480,D18-d4,504600,4656900,Kırklareli,Kofçaz,35,Ziraat,Ziraat,Statüsüz,,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Özel Orman,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Yok,,,Yok,,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Yapay,Hayvan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 285 derece 25 m,nokta ziraat arazisine düştü,,,132-2021,2021,1
924396,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,KIRKLARELİ,KAYALI,27.055459,41.902027,Z,Z,0,27,5,Kuzey Doğu,272,E18-a1,504600,4638900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,2,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Yok,,,Yok,2,Örtülü,Yabanlaşmış,,Çürüntülü Yaprak,Saf Yapraklı,2,,2,110,110+,10,,30,85,0-25,,26-60,6110,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 216 derece 230 metre uzaklıktadır.",Arazi çok yoğun dikenli çalılarla kaplı olup mutedil şekilde meşe ağaçları vardır.,"Nokta, profil çukuruna 90 derece ve 2 metre uzaklıktadır.",,01-08-2022,2022,2
924402,66967,924402,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI+YAPRAKLI,Gevşek Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.05541205,41.84798607,BÇkM,BÇkM,0,121,14,Batı,310,E18-a4,504600,4632900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman,Devlet Ormanı,1,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Çok Katlı,NA,2,,Su Kaynaklarını Koruma,2,,,,,,Yok,,,,10,,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,3,,91,91,10,15,20,,20,30,70,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,24-08-2019,2019,4
924486,67177,924486,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,MALKARA,27.05492934,41.28052308,Z,Z,0,753,8,Düzlük,90,F18-a4,504600,4569900,Tekirdağ,Hayrabolu,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Açıklık alana isabet ettiğinden envanter yapılamamıştır.,,,05-08-2020,2020,5
924490,67187,924490,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Gevşek Kapalı,Taban,İSTANBUL,TEKİRDAĞ,MALKARA,27.0549067,41.25349963,Z,Z,0,753,10,Kuzey Doğu,101,F18-a4,504600,4566900,Tekirdağ,Hayrabolu,35,Sulak Alan,Diğer,Statüsüz,,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,,böğürtlen,Bataklık Vejetasyonu,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uzak,Yok,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 150 derece 275 metre ,NOKTA BATAKLIK ALANA DÜŞTÜ VE TAMAMEN BÖĞÜRTLENLE KAPLI OLDUĞU İÇİN ÖLÇÜM YAPILMADI ,tarım arazisinden noktaya 150 derece 17 metre ,,182-2021,2021,1
925153,77829,925153,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Orta Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,KOFÇAZ,27.12812072,42.0640896,Çkc3,Çkc3,2,20,14,Güney Doğu,556,D18-d3,510600,4656900,Kırklareli,Kofçaz,35,Orman,Orman,Statüsüz,,Orman,ORMAN, ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,C,2,,Kaliteli ve Özellikli Odun Üretimi,2,,,,,,Orta,Heterojen,,Yok,5,,Ölü Örtü Kaplı,,Mul,Yapraklı + İbreli Karışık,,6,,100,100,1,5,10,,30,40,60,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,Yoldan 150 m kuzey yönüne varılarak noktaya varıldı.,,27-08-2020,2020,5
925159,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Üst Yamaç,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.127958,41.98303,BMGn,BMGn,0,131,4,Düzlük,531,E18-a2,510600,4647900,Kırklareli,Kofçaz,35,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,ZİRAAT,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Kaliteli ve Özellikli Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,4,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf Yapraklı,0.8,,2,15,15+,20,,,85,15,,,15+,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 263° açı ile 31 m mesafededir.",Yok,"Nokta, toprak profilinden 307° açı ile 310 m mesafededir.",,06-08-2023,2023,3
925167,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,MALKARA,27.125903,40.929153,Me,Me,0,709,45,Güney,262,G18-a2,510600,4530900,Tekirdağ,Malkara,35,Mera/Çayır,Mera/Çayır,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,,,Yok,10,Örtülü,Yeşillenmiş,,Yok,Yok,,,,110,110,,5,10,,,0,1110,,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,Araçdan Nokta ya 104 m. 135 Derece de.,Nokta Mera ya Düştü.,"Profilden Noktaya 3,33 m. 215 Derece de.",,17-08-2022,2022,2
925169,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,IBRELI+YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,KUŞTEPE,27.125852,40.902127,MzGna3,MzGna3,4,714,4,Kuzey Doğu,190,G18-a2,510600,4527900,Tekirdağ,Malkara,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, , ,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,İki Katlı,A,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı + İbreli Karışık,0.5,,2,110,110+,30,60,80,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 206° açı ile 250 m mesafededir.",Yok,"Nokta, toprak profilinden 0° açı ile 9385 m mesafededir.",,30-07-2023,2023,3
925173,78279,925173,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,TEKİRDAĞ,MALKARA,27.12574982,40.84807701,Z,Z,0,90,12,Güney,172,G18-a3,510600,4521900,Tekirdağ,Malkara,35,Ziraat,Ziraat,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Ziraat Alanı (Biçilmiş buğday tarlası),,,06-08-2019,2019,4
925179,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,Üst Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.125597,40.767,Çkbc3,Çkbc3,4,36,20,Kuzey Batı,263,G18-a3,510600,4512900,Tekirdağ,Şarköy,35,Bilinmiyor,Orman,Statüsüz,,Orman,Orman,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı + İbreli Karışık,3,,2,110,110+,2,2,1,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Kesim,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 313° açı ile 80 m mesafededir.",Yok,"Nokta, toprak profilinden 273° açı ile 4,13 m mesafededir.",,24-07-2023,2023,3
925183,78329,925183,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Orta Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.12549525,40.71294859,MzMla3,MzMla3,4,236,31,Kuzey Doğu,244,G18-d2,510600,4506900,Tekirdağ,Şarköy,35,Orman,Orman,Statüsüz,,Orman,Orman,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,A,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,,,97,97,15,20,10,,17,27,45592,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,Yoldan 500 metre ormana girildi.,,10-08-2020,2020,5
925187,,,Akdeniz kiyi kusagi,Açıklık Alan,Koru,Açıklık Alan,Boşluklu Kapalı,Üst Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.125394,40.658896,BMkr,BMkr,0,499,40,Batı,307,G18-d2,510600,4500900,Tekirdağ,Şarköy,35,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Maki,Devlet Ormanı,Yok,NA,Koruma Amaçlı Önlem Yok,,Toprak Koruma,Hayır,,,,,,Yok,,,Yok,5,Çıplak,,Sertleşmiş,Yok,Yok,,,,110,110,,25,45,60,,0-20,21-50,51-50,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,Araçtan Noktaya 130 M 330 Derece ,Pırnal Meşesi diken ardıc macar sütleyeni ölçume girmeyen agaç olmayıp maki saha etrafı agaçlandırma sahası kızılçam,Profilden noktaya 310 Derece ,,17-08-2022,2022,2
925607,83692,925607,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Üst Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.1610778,40.73993041,Mza3,Mza3,4,153,45,Batı,420,G18-d2,513600,4509900,Tekirdağ,Şarköy,35,Orman,Orman,Statüsüz,,Orman,Orman,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Çürüntü Mul,Yapraklı Karışık,3,,2,110,110,,3,5,,,5,105,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Doğala Uygun,Hayvan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 75 derece 680 m,-,profılden noktaya 318derece 7 m,,06-01-2022,2021,1
925609,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Koru,Açıklık Alan,Gevşek Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.161013,40.712905,Çzbc3,Çzbc3,3,359,20,Güney,401,G18-d2,513600,4506900,Tekirdağ,Şarköy,35,Bilinmiyor,Orman,Statüsüz,,Orman,Orman,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,20,Çıplak,,Sertleşmiş,Yok,Yok,,,,110,110,,35,70,80,,0-20,21-80,7110,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,Araçtan Noktaya 21M 192 Derece ,Nokta Yola Düşüyor Ölçüme Giren Ağaç Yok Etrafı Kızılçam Ağaçlandırması ,"Profilden Noktaya 8,5 M 156 Derece",,17-08-2022,2022,2
925611,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.160948,40.685878,KDA,KDA,0,443,10,Güney Batı,438,G18-d2,513600,4503900,Tekirdağ,Şarköy,35,Bilinmiyor,Bozkır/Step,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,,,Yok,10,Örtülü,Yeşillenmiş,,Yok,Yok,,,,110,95,15,10,10,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 200° açı ile 364 m mesafededir.",Yok,"Nokta, toprak profilinden 330° açı ile 7,8 m mesafededir.",,31-07-2023,2023,3
925613,83722,925613,Akdeniz kiyi kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.16088262,40.65885234,OT-T,OT-T,0,559,39,Düzlük,143,G18-d2,513600,4500900,Tekirdağ,Şarköy,35,İSKAN,Bilinmiyor,Statüsüz,,Orman Degil, ,2,İSKAN,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Toprak Koruma,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,"Yabani zeytin, terkedilmiş üzümler var",,06-08-2019,2019,4
925810,88520,925810,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Sırt,İSTANBUL,KIRKLARELİ,KOFÇAZ,27.20055651,42.03696614,Mbc3,Mbc3,3,79,9,Kuzey Batı,641,D18-d3,516600,4653900,Kırklareli,Kofçaz,35,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,Kaliteli ve Özellikli Odun Üretimi,2,,,,,,Yok,,,,,,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,"0,50",,100,100,,2,7,,60,70,70,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,Yoldan güneybatı yönüne 25 m gidilerek noktaya varıldı.,,07-09-2020,2020,5
925812,88530,925812,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,GÜLBABA,27.20047161,42.00994641,OT,OT,0,52,7,Kuzey Batı,536,D18-d3,516600,4650900,Kırklareli,Kofçaz,35,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,1,MERA/ÇAYIR,İşletilmeyen ,Değişikyaşlı ve Düşey Kapalı,Özel Orman,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Ağaçsız orman toprağı,Hayır,,,,,,Az,Heterojen,,Yok,5,Çıplak,,Yumuşak,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 242 derece 155 mt ,50-80 caplarında meşe türü gözlendı %50 den fazlası ziraat arazısıne isabet etti,,,162-2021,2021,1
925822,88680,925822,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.19921202,41.60463518,Z,Z,0,517,20,Doğu,109,E18-d3,516600,4605900,Kırklareli,Merkez,35,Ziraat,Ziraat,Statüsüz,,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Özel Orman,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Yok,,böğürtlen ve kuşburnu,Dere Vejetasyonu,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,5,10,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 280 derece 100 metre ,ziraat arazisi arasında kalanmış alana düştü gürgen böğürtlen ve kuşburnu türleri gözlemlendi,,,142-2021,2021,1
925828,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Normal Kapalı,Üst Yamaç,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.199046,41.550592,Çkb3,Çkb3,3,1,4,Düzlük,139,E18-d3,516600,4599900,Kırklareli,Babaeski,35,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,2,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yeşillenmiş,,Yaprak,Saf İbreli,1,,,110,110+,2,4,4,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan, 96° açı ile 90 m mesafededir.",Yok,"Nokta, toprak profilinden 295° açı ile 9 m mesafededir. ",,09-08-2023,2023,3
925831,88710,925831,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Boşluklu Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ,27.19896318,41.52356949,BM,BM,0,34,5,Kuzey Batı,120,E18-d3,516600,4596900,Kırklareli,Babaeski,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,NA,2,,Kaliteli ve Özellikli Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,3,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,"0,30",,96,50,1,5,5,,20,30,31,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,yoldan 50m güneye yerine gidilerek noktaya varıldı,,14-09-2019,2019,4
925837,88730,925837,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Tepe,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.19879786,41.46952506,Ma3,Ma3,3,46,4,Düzlük,122,F18-a2,516600,4590900,Kırklareli,Babaeski,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Var,dikenli tel,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Çürüntü Mul,Yapraklı + İbreli Karışık,1,,1,110,110,,10,20,,,10,100,,Numune Alınmadı,Ulaşılamadı,Kızılçam,Hedef Tür Var,Yapay,Hayvan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 295 derece 33 metre ,"nokta kızılçam agaçlandırma sahasına düşmesine rağmen nokta civarında nokta civarında kızılçam tespit edilemedi . Noktada dıken ardıç ,saçlı meşe ,tüylü meşe ve ocak halinde gürgen ","profilden noktaya 5 derece 9,70 metre ",,152-2021,2021,1
